Name of the Configuration,Mean Absolute Error,Root Mean Squared Error,Mean Reciprocal Rank@1,Precision@1,Recall@1,F-measure@1
config1-Fold-1,1.0514891256173797,1.6395424293202707,0.0,0.0,0.0,0.0
config1-Fold-2,0.9280474413001433,0.900159663544612,0.5,0.5,0.5,0.5
config1-Fold-3,1.161309247077748,1.8559363298650473,1.0,1.0,1.0,1.0
config1-Fold-4,1.393583111327048,2.131116993616142,1.0,1.0,1.0,1.0
config1-Fold-5,1.3748117190497182,2.0541849141381694,0.0,0.0,0.0,0.0
config1-Overall,1.1818481288744074,1.7161880660968483,0.5,0.5,0.5,0.5
config2-Fold-1,1.0514891256173797,1.6395424293202707,0.0,0.0,0.0,0.0
config2-Fold-2,0.9280474413001433,0.900159663544612,0.5,0.5,0.5,0.5
config2-Fold-3,1.161309247077748,1.8559363298650473,1.0,1.0,1.0,1.0
config2-Fold-4,1.393583111327048,2.131116993616142,1.0,1.0,1.0,1.0
config2-Fold-5,1.3748117190497182,2.0541849141381694,0.0,0.0,0.0,0.0
config2-Overall,1.1818481288744074,1.7161880660968483,0.5,0.5,0.5,0.5
